carte_la_plus_petite,derniere_carte,nombre_joueurs,temps_attente
9,-1,2,10.13207930170461
17,9,2,11.948776500183945
27,17,2,6.435985881054156
31,27,2,7.40337348751706
44,31,2,1.3130148379114799
63,44,2,10.709593885880928
69,63,2,6.897012432121148
78,69,2,2.435523702684087
80,78,2,9.873461415624236
90,80,2,11.675116003820788
23,-1,4,5.400980161281517
28,23,4,6.468961861463332
32,28,4,5.900497074126337
44,32,4,8.396229741194
45,44,4,2.928297308405768
80,45,4,1.2932517098723308
82,80,4,14.681730048711106
92,82,4,5.714935692107981
93,92,4,8.416338313426444
95,93,4,7.19669519549661
4,-1,2,8.655179834118867
7,4,2,9.178006500245644
32,7,2,6.074887282037715
33,32,2,4.425194173226848
39,33,2,14.519865216226602
61,39,2,13.853923341568246
74,61,2,3.050944493701288
78,74,2,14.873492256159054
79,78,2,13.013374471631849
83,79,2,4.444378251623448
1,-1,2,4.22180580951066
16,1,2,13.469789125148482
29,16,2,7.8344929499351466
39,29,2,1.1242316072259042
40,39,2,1.0461779926668826
72,40,2,10.225083143720234
80,72,2,13.290347451777464
84,80,2,9.685533797751091
85,84,2,10.815827764350537
92,85,2,3.259363601138285
2,-1,2,2.105591529071571
11,2,2,8.810472694877868
27,11,2,14.878258016674799
28,27,2,4.653905487602992
32,28,2,6.872884597788784
47,32,2,5.15919804159781
85,47,2,1.2762491950473898
90,85,2,4.821903974264486
94,90,2,13.001876298557978
99,94,2,11.29482581875808
1,-1,3,7.453618512232632
12,1,3,3.647570527801251
28,12,3,9.431801380683346
32,28,3,8.581369645065998
44,32,3,8.763075489614064
59,44,3,7.2409644433617855
67,59,3,4.809242051801639
71,67,3,5.498892151153664
87,71,3,12.06670794006562
100,87,3,14.949014990567136
6,-1,5,1.501557356511476
28,6,5,7.705027255587568
30,28,5,12.653985536263479
34,30,5,8.249894297141008
43,34,5,4.937047852141333
47,43,5,1.5016248664774674
55,47,5,10.234712982879895
62,55,5,7.167353936698873
83,62,5,4.073478260508729
100,83,5,6.172655904999814
3,-1,5,14.000500776793297
10,3,5,8.603416215766169
19,10,5,12.294187838426028
27,19,5,13.120816659857468
38,27,5,9.279604485912541
39,38,5,10.090191101667589
43,39,5,14.037021967452473
62,43,5,11.802606582648297
92,62,5,14.721125405360487
97,92,5,9.70218552800246
14,-1,5,9.6250996268335
24,14,5,1.0534719772508874
26,24,5,2.1040804820786527
35,26,5,6.770876166771547
41,35,5,13.160880809753817
71,41,5,11.471132008215221
75,71,5,4.849848464269262
92,75,5,14.10390206646278
93,92,5,4.128802542238257
97,93,5,10.767022976839087
7,-1,3,10.097146676058962
13,7,3,13.550375223749032
18,13,3,1.748749040221163
20,18,3,14.960479142277293
30,20,3,11.052241374437813
65,30,3,2.7269020887602764
70,65,3,7.371341626915098
80,70,3,7.658011662537791
96,80,3,9.762587581496682
100,96,3,2.9385041596285886
1,-1,5,1.903682075522426
23,1,5,14.040813337405156
33,23,5,1.595545411768236
41,33,5,4.6663602727030575
55,41,5,5.781799847444503
66,55,5,13.280872540678875
71,66,5,11.909752793369822
76,71,5,3.968810228559975
91,76,5,2.8868915856895665
99,91,5,12.467264205739411
1,-1,4,13.904377164910432
9,1,4,10.403595384621774
20,9,4,5.227784913148565
34,20,4,6.312010988151477
48,34,4,3.4350956245955575
56,48,4,2.2071701924041913
59,56,4,13.543721865795664
70,59,4,6.417766856162299
84,70,4,2.5871124663869347
97,84,4,6.617836432073487
21,-1,3,13.385066120579774
25,21,3,9.718692668792919
42,25,3,13.496045430560144
49,42,3,2.517813526355103
51,49,3,11.352143268310297
55,51,3,11.901275952785191
72,55,3,2.4458427173158186
77,72,3,10.70891208291743
83,77,3,9.206649773571847
86,83,3,6.599718675365379
16,-1,2,11.92223219118166
23,16,2,1.4363725755337464
27,23,2,1.018091336791623
32,27,2,7.019927556134573
33,32,2,5.31935247315886
41,33,2,7.341695266223042
71,41,2,8.571134350597085
80,71,2,11.386859992344833
83,80,2,5.976279113761427
99,83,2,4.761545414603419
1,-1,2,11.635256062908617
5,1,2,10.956944478578448
11,5,2,4.930150444319404
16,11,2,2.6838585855169503
18,16,2,13.760462791936499
22,18,2,12.993915014718935
48,22,2,3.641199078368767
52,48,2,7.0377112447098575
81,52,2,3.0101821997836278
82,81,2,4.167427383216902
10,-1,3,14.952316273942746
13,10,3,8.824529834411987
18,13,3,14.958526975220668
24,18,3,10.686246892233637
25,24,3,12.743098420070798
40,25,3,12.694757986592467
63,40,3,13.08553245166513
71,63,3,5.559668020934121
81,71,3,7.767673790966128
96,81,3,13.958659516382316
3,-1,5,3.350613920311075
4,3,5,4.61259654451544
41,4,5,2.006178950592754
46,41,5,12.064951049910668
51,46,5,4.346825411271632
58,51,5,7.181236293680783
62,58,5,6.300634863356578
64,62,5,4.514690815835039
68,64,5,2.606859115831547
71,68,5,3.980109618249932
37,-1,4,3.1632716000903764
39,37,4,12.184134270662966
41,39,4,4.582880842673598
50,41,4,12.929479995416235
74,50,4,6.891105444703148
